trade_date,close,exchange_ticker
2016-12-09,654.85,LTI
2016-12-12,653.4,LTI
2016-12-13,651.25,LTI
2016-12-14,664.55,LTI
2016-12-15,675.1,LTI
2016-12-16,679.2,LTI
2016-12-19,680.05,LTI
2016-12-20,680.3,LTI
2016-12-21,680.6,LTI
2016-12-22,680.1,LTI
2016-12-23,677.6,LTI
2016-12-26,670.0,LTI
2016-12-27,673.2,LTI
2016-12-28,680.25,LTI
2016-12-29,680.0,LTI
2016-12-30,680.05,LTI
2016-12-01,650.0,LTI
2016-12-02,650.0,LTI
2016-12-05,647.25,LTI
2016-12-06,646.0,LTI
2016-12-08,643.15,LTI
2016-12-07,640.7,LTI
2016-12-09,889.75,SRTRANSFIN
2016-12-12,867.8,SRTRANSFIN
2016-12-13,843.85,SRTRANSFIN
2016-12-14,840.85,SRTRANSFIN
2016-12-15,852.35,SRTRANSFIN
2016-12-23,803.65,SRTRANSFIN
2016-12-16,848.35,SRTRANSFIN
2016-12-19,829.1,SRTRANSFIN
2016-12-20,810.65,SRTRANSFIN
2016-12-21,809.65,SRTRANSFIN
2016-12-22,791.45,SRTRANSFIN
2016-12-26,785.25,SRTRANSFIN
2016-12-27,808.35,SRTRANSFIN
2016-12-28,814.65,SRTRANSFIN
2016-12-29,832.05,SRTRANSFIN
2016-12-30,853.45,SRTRANSFIN
2016-12-01,901.6,SRTRANSFIN
2016-12-02,895.55,SRTRANSFIN
2016-12-05,896.5,SRTRANSFIN
2016-12-07,898.2,SRTRANSFIN
2016-12-08,909.8,SRTRANSFIN
2016-12-06,920.55,SRTRANSFIN
2016-12-09,300.8,GODREJPROP
2016-12-12,301.6,GODREJPROP
2016-12-13,298.9,GODREJPROP
2016-12-14,300.3,GODREJPROP
2016-12-15,305.4,GODREJPROP
2016-12-16,305.65,GODREJPROP
2016-12-19,302.1,GODREJPROP
2016-12-20,298.35,GODREJPROP
2016-12-21,294.45,GODREJPROP
2016-12-22,298.2,GODREJPROP
2016-12-23,293.75,GODREJPROP
2016-12-26,293.6,GODREJPROP
2016-12-27,301.6,GODREJPROP
2016-12-28,302.15,GODREJPROP
2016-12-29,305.1,GODREJPROP
2016-12-30,303.2,GODREJPROP
2016-12-01,301.4,GODREJPROP
2016-12-02,299.9,GODREJPROP
2016-12-05,295.6,GODREJPROP
2016-12-06,302.45,GODREJPROP
2016-12-08,303.3,GODREJPROP
2016-12-07,298.65,GODREJPROP
2016-12-01,188.7309644384124,CHOLAFIN
2016-12-02,184.84627906403682,CHOLAFIN
2016-12-05,180.12775970778773,CHOLAFIN
2016-12-06,178.60723891731246,CHOLAFIN
2016-12-07,171.65208252733197,CHOLAFIN
2016-12-08,174.53616712345928,CHOLAFIN
2016-12-09,173.91814899571773,CHOLAFIN
