trade_date,close,exchange_ticker
2015-12-23,809.0549985052736,PEL
2015-12-24,823.4174244241173,PEL
2015-12-28,823.1624701178656,PEL
2015-12-29,839.3095761804708,PEL
2015-12-30,839.8194847929742,PEL
2015-12-31,853.5445249461886,PEL
2015-12-01,833.7430738273096,PEL
2015-12-02,823.8848406522453,PEL
2015-12-03,816.0237495428191,PEL
2015-12-04,805.7405925240021,PEL
2015-12-07,816.5336581553223,PEL
2015-12-08,798.516887180205,PEL
2015-12-09,786.1516033269993,PEL
2015-12-10,779.8627304394583,PEL
2015-12-11,782.0723344269727,PEL
2015-12-14,791.2506894520325,PEL
2015-12-15,800.6415063989688,PEL
2015-12-16,792.6529381364168,PEL
2015-12-17,798.8568262552071,PEL
2015-12-18,798.3044252583286,PEL
2015-12-21,798.5593795645802,PEL
2015-12-22,800.8539683208452,PEL
2015-12-01,954.1128126340432,GLENMARK
2015-12-03,929.4220087481959,GLENMARK
2015-12-02,950.0381023660448,GLENMARK
2015-12-04,926.3174675916258,GLENMARK
2015-12-11,841.76722953066,GLENMARK
2015-12-08,901.9662228947785,GLENMARK
2015-12-07,927.5786874364825,GLENMARK
2015-12-09,856.0772239242256,GLENMARK
2015-12-14,828.1848619706655,GLENMARK
2015-12-16,842.5433648198026,GLENMARK
2015-12-15,835.8977064065195,GLENMARK
2015-12-17,867.4767109835067,GLENMARK
2015-12-21,901.5296467946358,GLENMARK
2015-12-18,885.5703649116422,GLENMARK
2015-12-22,910.1156434307752,GLENMARK
2015-12-10,838.0320784516614,GLENMARK
2015-12-24,899.5893085717795,GLENMARK
2015-12-23,918.4105893334861,GLENMARK
2015-12-28,896.3877505040665,GLENMARK
2015-12-30,900.3654438609219,GLENMARK
2015-12-29,905.8468993404913,GLENMARK
2015-12-31,894.3989038256386,GLENMARK
2015-12-07,338.35,GODREJPROP
2015-12-01,333.95,GODREJPROP
2015-12-02,335.75,GODREJPROP
2015-12-03,339.25,GODREJPROP
2015-12-04,334.0,GODREJPROP
2015-12-08,332.2,GODREJPROP
2015-12-09,325.95,GODREJPROP
2015-12-10,330.7,GODREJPROP
2015-12-11,328.05,GODREJPROP
2015-12-14,325.6,GODREJPROP
2015-12-15,330.55,GODREJPROP
2015-12-16,329.45,GODREJPROP
2015-12-17,332.05,GODREJPROP
2015-12-18,329.7,GODREJPROP
2015-12-21,330.2,GODREJPROP
2015-12-22,342.4,GODREJPROP
2015-12-23,339.15,GODREJPROP
2015-12-24,336.55,GODREJPROP
2015-12-28,335.9,GODREJPROP
2015-12-29,332.65,GODREJPROP
2015-12-30,336.9,GODREJPROP
2015-12-31,336.25,GODREJPROP
2015-12-01,21.09581451267646,TATASTEEL
2015-12-02,21.655290965759434,TATASTEEL
2015-12-03,21.32670955680594,TATASTEEL
2015-12-04,21.335590135426305,TATASTEEL
2015-12-07,21.628649229898343,TATASTEEL
2015-12-08,20.847158311306245,TATASTEEL
2015-12-09,20.14559260029743,TATASTEEL
2015-12-10,20.69174818544986,TATASTEEL
2015-12-11,21.393313896458675,TATASTEEL
2015-12-14,21.75741761989363,TATASTEEL
2015-12-15,21.69969385886126,TATASTEEL
2015-12-16,21.730775884032536,TATASTEEL
2015-12-17,22.831967632957767,TATASTEEL
2015-12-18,22.703199242962476,TATASTEEL
2015-12-21,22.951855444332686,TATASTEEL
2015-12-22,22.858609368818858,TATASTEEL
2015-12-23,23.48469016155457,TATASTEEL
2015-12-24,23.387003796730564,TATASTEEL
2015-12-28,22.565550274346823,TATASTEEL
2015-12-29,22.6721172177912,TATASTEEL
2015-12-30,22.9740568908836,TATASTEEL
2015-12-31,23.071743255707613,TATASTEEL
2015-12-03,331.3334425169424,BRITANNIA
2015-12-01,335.8087070508274,BRITANNIA
2015-12-04,331.79679061262243,BRITANNIA
2015-12-02,334.53167449444106,BRITANNIA
2015-12-07,325.6772053977266,BRITANNIA
2015-12-11,314.2630206017066,BRITANNIA
2015-12-08,325.28166434043874,BRITANNIA
2015-12-16,318.0150100594082,BRITANNIA
2015-12-09,316.14466591709004,BRITANNIA
2015-12-17,328.9488950001501,BRITANNIA
2015-12-10,323.9424753321928,BRITANNIA
2015-12-14,319.5971742885595,BRITANNIA
2015-12-15,325.4794348690827,BRITANNIA
2015-12-18,326.63780510828275,BRITANNIA
2015-12-24,328.94324441361744,BRITANNIA
2015-12-21,332.59352331373077,BRITANNIA
2015-12-30,336.334211598367,BRITANNIA
2015-12-22,329.64391714367014,BRITANNIA
2015-12-23,327.310224905672,BRITANNIA
2015-12-28,328.22561992396663,BRITANNIA
