trade_date,close,exchange_ticker
2011-01-03,783.1,SRTRANSFIN
2011-01-04,779.7,SRTRANSFIN
2011-01-05,764.15,SRTRANSFIN
2011-01-06,740.05,SRTRANSFIN
2011-01-07,712.6,SRTRANSFIN
2011-01-10,717.6,SRTRANSFIN
2011-01-11,709.5,SRTRANSFIN
2011-01-12,722.65,SRTRANSFIN
2011-01-13,739.75,SRTRANSFIN
2011-01-14,725.85,SRTRANSFIN
2011-01-17,746.85,SRTRANSFIN
2011-01-18,761.95,SRTRANSFIN
2011-01-19,746.95,SRTRANSFIN
2011-01-20,742.45,SRTRANSFIN
2011-01-21,722.65,SRTRANSFIN
2011-01-24,723.1,SRTRANSFIN
2011-01-25,724.8,SRTRANSFIN
2011-01-27,721.5,SRTRANSFIN
2011-01-28,699.45,SRTRANSFIN
2011-01-31,686.75,SRTRANSFIN
2011-02-01,675.0,SRTRANSFIN
2011-02-02,661.55,SRTRANSFIN
2011-02-03,669.7,SRTRANSFIN
2011-02-04,674.45,SRTRANSFIN
2011-02-07,681.2,SRTRANSFIN
2011-02-08,683.4,SRTRANSFIN
2011-02-09,681.45,SRTRANSFIN
2011-02-10,684.9,SRTRANSFIN
2011-02-11,690.2,SRTRANSFIN
2011-02-14,698.4,SRTRANSFIN
2011-02-15,711.85,SRTRANSFIN
2011-02-16,717.45,SRTRANSFIN
2011-02-17,751.3,SRTRANSFIN
2011-02-18,752.35,SRTRANSFIN
2011-02-21,764.35,SRTRANSFIN
2011-02-22,758.0,SRTRANSFIN
2011-02-23,760.15,SRTRANSFIN
2011-02-24,753.9,SRTRANSFIN
2011-02-25,752.25,SRTRANSFIN
2011-02-28,745.8,SRTRANSFIN
2011-03-01,771.7,SRTRANSFIN
2011-03-03,777.65,SRTRANSFIN
2011-03-04,800.35,SRTRANSFIN
2011-03-07,782.55,SRTRANSFIN
2011-03-08,779.9,SRTRANSFIN
2011-03-09,781.5,SRTRANSFIN
2011-03-10,780.0,SRTRANSFIN
2011-03-11,775.9,SRTRANSFIN
2011-03-14,757.7,SRTRANSFIN
2011-03-15,725.5,SRTRANSFIN
2011-03-16,719.9,SRTRANSFIN
2011-03-17,722.0,SRTRANSFIN
2011-03-18,736.8,SRTRANSFIN
2011-03-21,739.85,SRTRANSFIN
2011-03-22,775.7,SRTRANSFIN
2011-03-23,776.1,SRTRANSFIN
2011-03-24,762.7,SRTRANSFIN
2011-03-25,774.3,SRTRANSFIN
2011-03-28,793.05,SRTRANSFIN
2011-03-29,780.7,SRTRANSFIN
2011-03-30,771.95,SRTRANSFIN
2011-03-31,796.0,SRTRANSFIN
2011-04-01,790.1,SRTRANSFIN
2011-04-29,774.9,SRTRANSFIN
2011-04-04,800.25,SRTRANSFIN
2011-04-05,813.75,SRTRANSFIN
2011-04-06,812.35,SRTRANSFIN
2011-04-07,814.6,SRTRANSFIN
2011-04-08,818.3,SRTRANSFIN
2011-04-11,811.8,SRTRANSFIN
2011-04-13,813.8,SRTRANSFIN
2011-04-15,824.9,SRTRANSFIN
2011-04-18,820.55,SRTRANSFIN
2011-04-19,814.2,SRTRANSFIN
2011-04-20,825.45,SRTRANSFIN
2011-04-21,814.55,SRTRANSFIN
2011-04-25,808.9,SRTRANSFIN
2011-04-26,800.25,SRTRANSFIN
2011-04-27,809.05,SRTRANSFIN
2011-04-28,798.55,SRTRANSFIN
2011-05-31,703.15,SRTRANSFIN
